id,Facility Name,Facility Type,Address,County,Phone,Email,Program Type,Age Range,Total License Capacity,Annual Inspection Date,Unannounced Inspection Date,In Compliance,Number of Violations
2543498,YWCA Spryfield Child Care Centre,Day Care Facility,358 HERRING COVE RD. HALIFAX,Halifax County,902 423-6163,d.snair@ywcahalifax.com,Full Day,6 months to 5 years,70,N/A,03-Apr-13,Yes,0
2541508,Yarmouth Young Learners,Day Care Facility,"25 BEACON ST. YARMOUTH, Nova Scotia, B5A 2W2",Yarmouth County,902-307-2546,yylearners@live.ca,"Full Day,School Age",3 years to 12 years,30,N/A,06-03-2013,Yes,0
2432111,Wonder Kids Childcare,Day Care Facility,584 TOWN RD. FALMOUTH,Hants County,902-472-2247,prim@eastlink.ca,"Part Day,School Age",30 months - 12 years,15,22-Feb-13,20-Aug-13,Yes,0
2432105,Wolfville Children's Centre (Main Street Location),Day Care Facility,329 MAIN ST. WOLFVILLE,Kings County,902-542-5087,wolfville.childrencentre@ns.aliantzinc.ca,School Age,5 years - 12 years,15,10-Sep-13,07-Mar-13,No,1
2432102,Wolfville Children's Centre,Day Care Facility,17 EARNSCLIFFE AVE. WOLFVILLE,Kings County,902-542-5087,wolfville.childrencentre@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,54,11-Apr-13,11-Oct-12,Yes,0
2432099,Windsor Street Childcare Centre,Day Care Facility,2770 WINDSOR ST. HALIFAX,Halifax County,902-406-8001,windsorchildcare@eastlink.ca,Full Day,4 months - 5 years,50,05-Sep-13,10-Apr-13,No,12
2432096,Windsor Nursery School,Day Care Facility,122 COTTAGE ST. WINDSOR,Hants County,902-798-3280,test@test.ca,Part Day,3 years - 6 years,20,20-Dec-12,04-Jun-13,Yes,0
2432093,Windsor Day Care Centre,Day Care Facility,236 VICTORIA ST. WINDSOR,Hants County,902-798-2001,windsordaycare@ns.sympatico.ca,"Full Day,School Age",6 months - 12 years,80,29-Nov-12,22-May-13,Yes,0
2432090,Windchimes Family Care,Day Care Facility,29 CASTLE HILL DR. HALIFAX,Halifax County,902-443-1810,bob_webber_@hotmail.com,"Full Day,School Age",3 months - 11 years,15,28-May-13,02-Nov-12,Yes,0
2559811,Willowbrae Childcare Academy Hammonds Plains,Day Care Facility,21 GLEN ARBOUR WAY HAMMONDS PLAINS,Halifax County,902 830-9514,dmaclean@willowbraechildcare.com,"Full Day,Part Day,School Age",18 months- 12 years,112,N/A,18-Jun-13,Yes,0
2618938,Willowbrae Childcare Academy (Site 2),Day Care Facility,94 GARLAND AVE. DARTMOUTH,Halifax County,902 442-9244,dhamilton@willowbraechildcare.com,"Full Day,School Age",4 months to 12 years,132,N/A,N/A,Yes,0
2432039,Willowbrae Childcare Academy,Day Care Facility,110 GARLAND AVE. DARTMOUTH,Halifax County,902-406-7653,wayne@mooving.ca,Full Day,4 months - 5 years,132,11-Jun-13,14-Nov-12,Yes,0
2432084,Willow Creek Children's Centre Inc,Day Care Facility,1385 SACKVILLE DR. MIDDLE SACKVILLE,Halifax County,902-252-5553,carriesmith@eastlink.ca,Full Day,8 months - 5 years,54,10-Oct-12,10-Apr-13,Yes,0
2432075,Wiggles & Giggles Daycare/Preschool,Day Care Facility,42 GLENDA CRES. SYDNEY,Cape Breton County,902-539-6717,wiggles-gigglesdaycare@hotmail.com,Full Day,3 months - 5 years,28,09-Oct-12,04-Apr-13,Yes,0
2432855,Whycocomagh Child Development Centre,Day Care Facility,50 NORMAN MCLEOD RD. WHYCOCOMAGH,Inverness County,902-756-2239,wcdc105@gmail.com,"Full Day,School Age",18 months -12 years,33,17-Oct-12,21-Mar-13,Yes,0
2432852,Whitney Pier Day Care Centre,Day Care Facility,253 HENRY ST. SYDNEY,Cape Breton County,902-564-6344,wpdaycare@ns.aliant.ca,"Full Day,School Age",18 months - 12 years,69,14-Jun-13,17-Dec-12,Yes,0
2432849,Westside Afterschool Program,Day Care Facility,468 VICTORIA AVE. NEW GLASGOW,Pictou County,902-695-3370,springgardenccc@eastlink.ca,School Age,5 years - 12 years,30,28-Feb-13,28-Sep-12,Yes,0
2432846,West Northfield Cooperative Nursery School,Day Care Facility,227 FEENERS CORNER RD. WEST NORTHFIELD,Lunenburg County,902-543-1168,test@tested.ca,Part Day,3 years - 5 years,12,20-Sep-11,06-Mar-12,Yes,0
2432840,Wendy's Neverland Pre-School and Afterschool Program,Day Care Facility,2400 WAVERLEY RD. WAVERLEY,Halifax County,902-576-3110,wendy@wendysneverland.ca,"Full Day,Part Day,School Age",3 years - 12 years,30,24-Apr-13,22-Oct-12,Yes,0
