id,Facility Name,Facility Type,Address,County,Phone,Email,Program Type,Age Range,Total License Capacity,Annual Inspection Date,Unannounced Inspection Date,In Compliance,Number of Violations
2543498,YWCA Spryfield Child Care Centre,Day Care Facility,358 HERRING COVE RD. HALIFAX,Halifax County,902 423-6163,d.snair@ywcahalifax.com,Full Day,6 months to 5 years,70,N/A,03-Apr-13,Yes,0
2432168,YWCA Family Home Day Care,Family Home Day Care Agency,1233 BARRINGTON ST. HALIFAX,Halifax County,902-423-6163,,,,,No,1,,
2432165,YWCA Child Care Program,Day Care Facility,1233 BARRINGTON ST. HALIFAX,Halifax County,902-423-6162 x 271,,"Full Day,School Age",6 months - 12 years,76,08-Aug-13,21-Feb-13,Yes,0
2432159,YMCA South Park Child Care Centre,Day Care Facility,1565 SOUTH PARK ST. HALIFAX,Halifax County,902-496-1885,barb_wade@ymca.ca,Full Day,18 months - 5 years,77,28-Jun-13,13-Dec-12,Yes,0
2432156,YMCA Purdy's Wharf Child Care Centre,Day Care Facility,1969 UPPER WATERST. HALIFAX,Halifax County,902-492-3622,,Full Day,3 months - 6 years,62,10-Jul-13,04-Dec-12,Yes,0
2547185,YMCA of Pictou County Child Care Centre,Day Care Facility,"2756 WESTVILLE RD, Nova Scotia",Pictou County,(902) 752-0202 (ext.227),tarag@pcymca.ca,Full Day,3 months - 5 years,57,N/A,15-05-2013,Yes,0
2432153,YMCA of Pictou County After School Program (Walter Duggan),Day Care Facility,2370 SPRING GARDEN RD. WESTVILLE,Pictou County,902-752-0202,Elizabeth Cormier,School Age,4 years - 12 years,30,03-Oct-12,17-Apr-13,Yes,0
2432150,YMCA of Pictou County After School Program (Trenton),Day Care Facility,1 SIXTH ST. TRENTON,Pictou County,902-752-0202,stellac@pcymca.ca,School Age,4 years - 12 years,23,03-Oct-12,18-Jan-13,Yes,0
2432147,YMCA of Pictou County After School Program (G.R. Saunders),Day Care Facility,71 BRIDGE AVE. STELLARTON,Pictou County,902-752-0202,,School Age,4 years - 12 years,30,17-Sep-12,21-Feb-13,Yes,0
2432144,YMCA of Pictou County After School Program (A.G. Baillie),Day Care Facility,"477 VICTORIA AVE. NEW GLASGOW, Nova Scotia",Pictou County,902-752-0202,bethc@pcymca.ca,School Age,4 years - 12 years,30,24-09-2012,23-04-2013,Yes,0
2432141,YMCA of Cape Breton Early Learning Centre,Day Care Facility,399 CHARLOTTE ST. SYDNEY,Cape Breton County,902-562-9622,guyreid@eastlink.ca,"Full Day,Part Day,School Age",18 months - 12 years,70,22-Nov-12,25-Mar-13,Yes,0
2432138,YMCA Lunenburg County School Age Program (Hebbville),Day Care Facility,"16147 Nova Scotia Trunk 3
Hebbville, NS B4V 6V8 â€Ž ",Lunenburg County,902-543-6399,candy_lohnes@ymca.ca,School Age,4 years - 12 years,23,19-09-2012,07-02-2013,Yes,0
2432135,YMCA Lunenburg County Childcare Centre (King Street School Age Program),Day Care Facility,416 KING ST. UNIT 4 BRIDGEWATER,Lunenburg County,902-543-6399,candy_lohnes@ymca.ca,School Age,4 years - 12 years,30,11-Oct-12,17-Apr-13,Yes,0
2432132,YMCA Lunenburg County Childcare Centre (High St),Day Care Facility,"75 HIGH ST. BRIDGEWATER, Nova Scotia, b4v 1w1",Lunenburg County,902-543-6399,candy_lohnes@ymca.ca,"Full Day,School Age",18 months - 12 years,80,15-05-2013,03-10-2012,Yes,0
2541508,Yarmouth Young Learners,Day Care Facility,"25 BEACON ST. YARMOUTH, Nova Scotia, B5A 2W2",Yarmouth County,902-307-2546,yylearners@live.ca,"Full Day,School Age",3 years to 12 years,30,N/A,06-03-2013,Yes,0
2432111,Wonder Kids Childcare,Day Care Facility,584 TOWN RD. FALMOUTH,Hants County,902-472-2247,prim@eastlink.ca,"Part Day,School Age",30 months - 12 years,15,22-Feb-13,20-Aug-13,Yes,0
2432105,Wolfville Children's Centre (Main Street Location),Day Care Facility,329 MAIN ST. WOLFVILLE,Kings County,902-542-5087,wolfville.childrencentre@ns.aliantzinc.ca,School Age,5 years - 12 years,15,10-Sep-13,07-Mar-13,No,1
2432102,Wolfville Children's Centre,Day Care Facility,17 EARNSCLIFFE AVE. WOLFVILLE,Kings County,902-542-5087,wolfville.childrencentre@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,54,11-Apr-13,11-Oct-12,Yes,0
2432099,Windsor Street Childcare Centre,Day Care Facility,2770 WINDSOR ST. HALIFAX,Halifax County,902-406-8001,windsorchildcare@eastlink.ca,Full Day,4 months - 5 years,50,05-Sep-13,10-Apr-13,No,12
2432096,Windsor Nursery School,Day Care Facility,122 COTTAGE ST. WINDSOR,Hants County,902-798-3280,,Part Day,3 years - 6 years,20,20-Dec-12,04-Jun-13,Yes,0
2432093,Windsor Day Care Centre,Day Care Facility,236 VICTORIA ST. WINDSOR,Hants County,902-798-2001,windsordaycare@ns.sympatico.ca,"Full Day,School Age",6 months - 12 years,80,29-Nov-12,22-May-13,Yes,0
2432090,Windchimes Family Care,Day Care Facility,29 CASTLE HILL DR. HALIFAX,Halifax County,902-443-1810,bob_webber_@hotmail.com,"Full Day,School Age",3 months - 11 years,15,28-May-13,02-Nov-12,Yes,0
2559811,Willowbrae Childcare Academy Hammonds Plains,Day Care Facility,21 GLEN ARBOUR WAY HAMMONDS PLAINS,Halifax County,902 830-9514,dmaclean@willowbraechildcare.com,"Full Day,Part Day,School Age",18 months- 12 years,112,N/A,18-Jun-13,Yes,0
2618938,Willowbrae Childcare Academy (Site 2),Day Care Facility,94 GARLAND AVE. DARTMOUTH,Halifax County,902 442-9244,dhamilton@willowbraechildcare.com,"Full Day,School Age",4 months to 12 years,132,N/A,N/A,Yes,0
2432039,Willowbrae Childcare Academy,Day Care Facility,110 GARLAND AVE. DARTMOUTH,Halifax County,902-406-7653,wayne@mooving.ca,Full Day,4 months - 5 years,132,11-Jun-13,14-Nov-12,Yes,0
2432084,Willow Creek Children's Centre Inc,Day Care Facility,1385 SACKVILLE DR. MIDDLE SACKVILLE,Halifax County,902-252-5553,carriesmith@eastlink.ca,Full Day,8 months - 5 years,54,10-Oct-12,10-Apr-13,Yes,0
2432075,Wiggles & Giggles Daycare/Preschool,Day Care Facility,42 GLENDA CRES. SYDNEY,Cape Breton County,902-539-6717,wiggles-gigglesdaycare@hotmail.com,Full Day,3 months - 5 years,28,09-Oct-12,04-Apr-13,Yes,0
2432855,Whycocomagh Child Development Centre,Day Care Facility,50 NORMAN MCLEOD RD. WHYCOCOMAGH,Inverness County,902-756-2239,wcdc105@gmail.com,"Full Day,School Age",18 months -12 years,33,17-Oct-12,21-Mar-13,Yes,0
2432852,Whitney Pier Day Care Centre,Day Care Facility,253 HENRY ST. SYDNEY,Cape Breton County,902-564-6344,wpdaycare@ns.aliant.ca,"Full Day,School Age",18 months - 12 years,69,14-Jun-13,17-Dec-12,Yes,0
2432849,Westside Afterschool Program,Day Care Facility,468 VICTORIA AVE. NEW GLASGOW,Pictou County,902-695-3370,springgardenccc@eastlink.ca,School Age,5 years - 12 years,30,28-Feb-13,28-Sep-12,Yes,0
2432846,West Northfield Cooperative Nursery School,Day Care Facility,227 FEENERS CORNER RD. WEST NORTHFIELD,Lunenburg County,902-543-1168,,Part Day,3 years - 5 years,12,20-Sep-11,06-Mar-12,Yes,0
2432840,Wendy's Neverland Pre-School and Afterschool Program,Day Care Facility,2400 WAVERLEY RD. WAVERLEY,Halifax County,902-576-3110,wendy@wendysneverland.ca,"Full Day,Part Day,School Age",3 years - 12 years,30,24-Apr-13,22-Oct-12,Yes,0
2432834,Wee Wisdom Nursery School,Day Care Facility,87 HILLCREST ST. BRIDGEWATER,Lunenburg County,902-543-1400,,Part Day,30 months - 5 years,26,13-Nov-12,01-May-13,Yes,0
2432828,Wee Folk Kindergarten,Day Care Facility,421 PARK ST. KENTVILLE,Kings County,902-678-0416,,Part Day,2 years - 5 years,24,05-Mar-13,12-Sep-13,No,4
2432825,Wee Folk Centre,Day Care Facility,904 CENTRAL AVE. GREENWOOD,Kings County,902-765-8993,weefolkcentre@gmail.com,"Full Day,School Age",2 years - 12 years,56,01-Oct-12,02-Apr-13,Yes,0
2432822,Wee Care Developmental Centre - Veith House Location,Day Care Facility,3115 VEITH ST. HALIFAX,Halifax County,902-455-1081,weecare@aliantzinc.ca,Full Day,3 years - 5 years,14,25-Jul-13,21-Feb-13,Yes,0
2432819,Wee Care Developmental Centre,Day Care Facility,5217 YOUNG ST. HALIFAX,Halifax County,902-455-1081,weecare@aliantzinc.ca,Full Day,4 months - 6 years,58,25-Jul-13,21-Feb-13,Yes,0
2432816,Wee Bairn Preschool,Day Care Facility,18 COLINDALE ST. HALIFAX,Halifax County,902-477-2117,,"Full Day,School Age",3 years - 12 years,15,04-Oct-12,05-Apr-13,Yes,0
2432813,Wedgewood's Little School Ltd - Location #2,Day Care Facility,55 KEARNEY LAKE RD. HALIFAX,Halifax County,902-443-2273,moniquer@eastlink.ca,"Full Day,School Age",18 months - 10 years,38,27-Aug-13,07-Feb-13,Yes,0
2432810,Wedgewood's Little School Ltd,Day Care Facility,56 KEARNEY LAKE RD. HALIFAX,Halifax County,902-443-2273,moniquer@eastlink.ca,School Age,5 years - 12 years,14,27-Aug-13,19-Feb-13,Yes,0
2672760,Waverley Road Children's Center,Day Care Facility,194 WAVERLEY RD. DARTMOUTH,Halifax County,(902) 462-5838,waverleyroadcc@bellaliant.com,"Full Day,School Age",4 months to 12 years,75,N/A,N/A,Yes,0
2432801,Voyageur Lakes Kids Academy - Annex,Day Care Facility,1378 HAMMONDS PLAINS RD. HAMMONDS PLAINS,Halifax County,902-405-5437,info@kidsacademy.ca,"Part Day,School Age",30 months - 12 years,52,28-Feb-13,28-Aug-13,No,3
2432798,Voyageur Lakes Kids Academy,Day Care Facility,1376 HAMMONDS PLAINS RD. HAMMONDS PLAINS,Halifax County,902-405-5437,info@kidsacademy.ca,Full Day,18 months - 5 years,108,19-Jun-13,20-Dec-12,Yes,0
2432789,Victoria Children's Centre (Wyse Road),Day Care Facility,192 WYSE RD. DARTMOUTH,Halifax County,902-466-0010,vccdaycare@ns.aliantzinc.ca,Full Day,18 months - 6 years,40,18-Apr-13,25-Sep-12,Yes,0
2432786,Victoria Children's Centre (Prince Albert),Day Care Facility,91 PRINCE ALBERT RD. DARTMOUTH,Halifax County,902-466-0464,vccdaycare@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,60,17-Apr-13,25-Sep-12,Yes,0
2432783,Victoria Children's Centre - School Age Program,Day Care Facility,73 PRINCE ALBERT RD. DARTMOUTH,Halifax County,902-466-0010,vccdaycare@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,20,15-Feb-13,06-Aug-13,Yes,0
2432777,Veith House Preschool,Day Care Facility,3115 VEITH ST. HALIFAX,Halifax County,902-453-4320,veithhousepreschool@hotmail.com,Part Day,30 months - 5 years,23,05-Dec-12,10-Sep-13,Yes,0
